Method,Type,Status,Size,Time
SearchTree,int32,1,100,2.99884e-005
SearchTree,int64,1,100,2.92569e-005
SearchTree,float,1,100,2.52341e-005
SearchTree,double,1,100,2.59655e-005
SearchTree,int32,1,1000,0.000167862
SearchTree,int64,1,1000,0.000205164
SearchTree,float,1,1000,0.000231861
SearchTree,double,1,1000,0.00023881
SearchTree,int32,1,10000,0.018968
SearchTree,int64,1,10000,0.0482809
SearchTree,float,1,10000,0.00559576
SearchTree,double,1,10000,0.00542204
SearchTree,int32,1,100000,0.0626102
SearchTree,int64,1,100000,0.0658771
SearchTree,float,1,100000,0.065247
SearchTree,double,1,100000,0.204348
SearchTree,int32,1,500000,0.735508
SearchTree,int64,1,500000,4.18706
SearchTree,float,1,500000,2.48889
SearchTree,double,1,500000,1.49204
SearchTree,int32,1,1000000,1.21942
SearchTree,int64,1,1000000,1.25466
SearchTree,float,1,1000000,1.36721
SearchTree,double,1,1000000,1.28175
SearchTree,int32,1,5000000,11.7878
SearchTree,int64,1,5000000,12.9327
SearchTree,float,1,5000000,14.8883
SearchTree,double,1,5000000,13.036
SearchTree,int32,1,10000000,28.5625
SearchTree,int64,1,10000000,29.4968
SearchTree,float,1,10000000,28.3071
SearchTree,double,1,10000000,27.9442
